question	answer
世界最大蜘蛛網 (急轉彎)	World Wide Web (WWW)
只騙中年人 (四字成語)	童叟無欺
連下三天雨，打狗不出門	淚
身懷六甲 (地名)	大肚
飲水思源 (地名)	知本
狼來了 (地名)	楊梅
羊來了 (水果)	草莓
路上行人走，小月照其上	趙 俏
邊走邊吃 (by my son)	趙 超 迄
李字少了木，不作子字猜	一
木字少一撇  	秒
木字多一撇	移
四個人搬木頭	杰 傘 扒
日落半林中	東 杳
太陽掛在樹頂上	果
百年前是草，百年後是木	葉
刮目相看	木
草木之中有個人	茶
竹林深處有僧家	等
森 (台灣地名)	樹林
籬笆 (台灣地名)	竹圍 木柵
一條狗行經獨木橋就不叫了(成語)	過目不忘
水中浮木 (猜人名，以閩南語構思)	劉邦
守株待兔	柳
樹上唱 Rap	桑
植樹節	直
路旁植樹	格
如苗得雨，似花初開	蕾
原始森林	枯
停電，猜一字 (英文想)	黜
我在水中，猜一字 (英文想)	WAITER
我在Water上，猜一字 (翻譯想)	汞
我在Water邊，猜一字 (翻譯想)	江
沐與灶一起，缺什麼？	金
半部春秋	秦
貝字減兩點，不作目字猜。(打一字)	資
巧奪天工。(打一字)	人
拿不出手。(打一字)	合
一箭穿心。(打一字)	必
點點成金。(打一字)	全
言而有信。(打一字)	人
去一人還有一口，去一口還有一人。(打一字)	合
一心向上。(打一字)	必
一家十一口。(打一字)	吉
